Name of song,Start timestamp,Tempo
0010BnyFuw94XFautS2uJp.mp3,0,112.34714673913044
0010BnyFuw94XFautS2uJp.mp3,10,112.34714673913044
0010BnyFuw94XFautS2uJp.mp3,20,112.34714673913044
005Dlt8Xaz3DkaXiRJgdiS.mp3,0,99.38401442307692
005Dlt8Xaz3DkaXiRJgdiS.mp3,10,73.828125
005Dlt8Xaz3DkaXiRJgdiS.mp3,20,143.5546875
00762tXbSj2w2bQMVydJZn.mp3,0,86.1328125
00762tXbSj2w2bQMVydJZn.mp3,10,86.1328125
00762tXbSj2w2bQMVydJZn.mp3,20,86.1328125
00ABHScW2XcawqAo04Hy6q.mp3,0,95.703125
00ABHScW2XcawqAo04Hy6q.mp3,10,123.046875
00ABHScW2XcawqAo04Hy6q.mp3,20,117.45383522727273
00C8uQkSWRvcgfnwMArZMI.mp3,0,172.265625
00C8uQkSWRvcgfnwMArZMI.mp3,10,172.265625
00C8uQkSWRvcgfnwMArZMI.mp3,20,135.99917763157896
00C8uQkSWRvcgfnwMArZMI.mp3,30,0
00CjPU9Nv69kf6YofOIazK.mp3,0,95.703125
00CjPU9Nv69kf6YofOIazK.mp3,10,95.703125
00CjPU9Nv69kf6YofOIazK.mp3,20,95.703125
00CXUMREit80f2McJsjcIz.mp3,0,198.76802884615384
00CXUMREit80f2McJsjcIz.mp3,10,172.265625
00CXUMREit80f2McJsjcIz.mp3,20,86.1328125
00Ep1aC0zL7ndYQsiiWudZ.mp3,0,107.666015625
00Ep1aC0zL7ndYQsiiWudZ.mp3,10,107.666015625
00Ep1aC0zL7ndYQsiiWudZ.mp3,20,107.666015625
00fcfrfTLnhgQ39m3y7pP4.mp3,0,161.4990234375
00fcfrfTLnhgQ39m3y7pP4.mp3,10,161.4990234375
00fcfrfTLnhgQ39m3y7pP4.mp3,20,161.4990234375
00i0O74dXdaKKdCrqHnfXm.mp3,0,143.5546875
00i0O74dXdaKKdCrqHnfXm.mp3,10,143.5546875
00i0O74dXdaKKdCrqHnfXm.mp3,20,143.5546875
00I3mqTwndMv83nv03Bjfk.mp3,0,123.046875
00I3mqTwndMv83nv03Bjfk.mp3,10,172.265625
00I3mqTwndMv83nv03Bjfk.mp3,20,129.19921875
00k8IOldAG7WIPnPi1bMsW.mp3,0,143.5546875
00k8IOldAG7WIPnPi1bMsW.mp3,10,143.5546875
00k8IOldAG7WIPnPi1bMsW.mp3,20,135.99917763157896
00k8IOldAG7WIPnPi1bMsW.mp3,30,0
00lJuCNecJvkEJOZTbsod8.mp3,0,103.359375
00lJuCNecJvkEJOZTbsod8.mp3,10,103.359375
00lJuCNecJvkEJOZTbsod8.mp3,20,103.359375
00lopN8UjPU58scvfgjSPK.mp3,0,123.046875
00lopN8UjPU58scvfgjSPK.mp3,10,123.046875
00lopN8UjPU58scvfgjSPK.mp3,20,123.046875
00M9ARzRqQKGns8cOKdC8q.mp3,0,99.38401442307692
00M9ARzRqQKGns8cOKdC8q.mp3,10,99.38401442307692
00M9ARzRqQKGns8cOKdC8q.mp3,20,99.38401442307692
00NceLyyxrQIaY3aZshikE.mp3,0,95.703125
